Category,All-Time Highs[2],Milestone[3](closing),Date of Record (closing)[3]
MDLZ,Mondelēz International,Consumer Staples,Packaged Foods & Meats
MNST,Monster Beverage Corporation,Consumer Staples,Soft Drinks
NTES,"NetEase, Inc.",Communication Services,Interactive Home Entertainment
NFLX,Netflix,Communication Services,Movies & Entertainment
NVDA,Nvidia Corporation,Information Technology,Semiconductors
NXPI,NXP Semiconductors,Information Technology,Semiconductors
ORLY,"O'Reilly Automotive, Inc.",Consumer Discretionary,Specialty Stores
OKTA,"Okta, Inc.",Information Technology,Application Software
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks
PAYX,"Paychex, Inc.",Information Technology,Data Processing & Outsourced Services
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services
PTON,Peloton Interactive,Consumer Discretionary,Leisure Products
PEP,"PepsiCo, Inc.",Consumer Staples,Soft Drinks
PDD,Pinduoduo Inc.,Consumer Discretionary,Internet & Direct Marketing Retail
QCOM,Qualcomm,Information Technology,Semiconductors
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology
ROST,"Ross Stores, Inc.",Consumer Discretionary,Apparel Retail
SGEN,Seagen Inc.,Health Care,Biotechnology
SIRI,Sirius XM Holdings Inc.,Communication Services,Broadcasting
SWKS,"Skyworks Solutions, Inc.",Information Technology,Semiconductors
SPLK,Splunk,Information Technology,Application Software
SBUX,Starbucks Corporation,Consumer Discretionary,Restaurants
SNPS,"Synopsys, Inc.",Information Technology,Application Software
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
TXN,Texas Instruments,Information Technology,Semiconductors
TCOM,Trip.com Group,Consumer Discretionary,Internet & Direct Marketing Retail
VRSN,Verisign,Information Technology,Internet Services & Infrastructure
VRSK,Verisk Analytics,Industrials,Research & Consulting Services
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
WBA,"Walgreen Boots Alliance, Inc.",Consumer Staples,Drug Retail
WDAY,"Workday, Inc.",Information Technology,Application Software
XEL,Xcel Energy Inc.,Utilities,Multi-Utilities
XLNX,"Xilinx, Inc.",Information Technology,Semiconductors
ZM,Zoom Video Communications,Information Technology,Application Software
